"occurrence.hyp.","occurrence.con.","support.rule.","confidence","classical.index","entropic.index","implifiance.index","classical.simi","entropic.simi"
24,21,58.5365853658537,45.8333333333333,28.7979028077989,24.9370978791408,18.225239057253,35.6177151203156,0
21,24,51.219512195122,52.3809523809524,25.9924170995982,37.5017121622714,17.7134148825697,35.6177151203156,0
24,21,58.5365853658537,50,39.0601490037603,33.5899271519208,26.1210959571991,46.6735512018204,0
21,24,51.219512195122,57.1428571428571,37.4091227480263,48.537059137905,26.9388020010602,46.6735512018204,0
24,20,58.5365853658537,50,45.7468982097617,36.5514914088496,31.1250428189317,53.4083962440491,0
20,24,48.780487804878,60,44.8235759571666,60.9824832135392,33.6505921217859,53.4083962440491,0
24,20,58.5365853658537,50,45.7468982097617,36.5514914088496,31.1250428189317,53.4083962440491,0
20,24,48.780487804878,60,44.8235759571666,60.9824832135392,33.6505921217859,53.4083962440491,0
24,20,58.5365853658537,58.3333333333333,68.2689333472636,59.0908974803542,50.7569670798264,74.8591065406799,0
20,24,48.780487804878,70,72.105253363509,76.5697356415065,59.1530794053556,74.8591065406799,0
24,19,58.5365853658537,33.3333333333333,15.5864469365624,12.9860208236415,8.55852559997649,17.4603417515755,0
19,24,46.3414634146341,42.1052631578947,10.3322237830777,22.5423340954997,6.41510076808845,17.4603417515755,0
24,19,58.5365853658537,50,52.3427262577864,39.4713151285227,36.1404178824721,60.3834986686707,0
19,24,46.3414634146341,63.1578947368421,52.9890737190068,68.8997940300008,41.3695701873922,60.3834986686707,0
24,19,58.5365853658537,41.6666666666667,31.2479599633717,23.0174487295577,19.4955586993561,36.8276655673981,0
19,24,46.3414634146341,52.6315789473684,26.8364409099146,44.9408482897497,18.9320125931369,36.8276655673981,0
24,18,58.5365853658537,33.3333333333333,19.9546674047053,14.6052837474964,11.2617720073726,21.7269748449326,0
18,24,43.9024390243902,44.4444444444444,13.4641074337442,28.9038217105112,8.8063150495508,21.7269748449326,0
24,18,58.5365853658537,50,58.6821996156978,42.4706630474073,41.0360072368709,67.3945665359497,0
18,24,43.9024390243902,66.6666666666667,61.6825194390336,74.9539568811104,49.989089944844,67.3945665359497,0
24,18,58.5365853658537,58.3333333333333,78.5981220318534,63.6314803794533,59.55870510876,85.7008576393127,0
18,24,43.9024390243902,77.7777777777778,86.5247610664881,84.9571277754028,75.9850054689523,85.7008576393127,0
24,17,58.5365853658537,29.1666666666667,17.6294712023967,12.0639307678885,9.52100262606515,17.4754470586777,0
17,24,41.4634146341463,41.1764705882353,10.2019556867754,26.2490852212425,6.54648221137078,17.4754470586777,0
24,17,58.5365853658537,45.8333333333333,54.0713505167268,34.5771677536533,36.6064773490351,63.0231022834778,0
17,24,41.4634146341463,64.7058823529412,55.7531755723562,73.8650989390015,44.8478358389407,63.0231022834778,0
24,17,58.5365853658537,50,64.6325680352876,46.0956559527848,45.7021271432528,74.1981863975525,0
17,24,41.4634146341463,70.5882352941177,70.5478342374413,79.9085679612962,59.272036352399,74.1981863975525,0
24,16,58.5365853658537,54.1666666666667,78.980307725462,59.3748891693926,58.613662042182,88.2482051849365,0
16,24,39.0243902439024,81.25,89.7054137586746,87.678482858081,81.1323909433147,88.2482051849365,0
24,16,58.5365853658537,37.5,39.4490236511866,22.6933596761634,24.5504283399665,45.2421486377716,0
16,24,39.0243902439024,56.25,34.6950839362937,63.7565213168693,26.3139680989116,45.2421486377716,0
24,15,58.5365853658537,16.6666666666667,9.24860321240937,5.26447134871048,4.09574406458517,5.33405691385269,0
15,24,36.5853658536585,26.6666666666667,2.55049088050843,13.5150408089275,1.41267266051629,5.33405691385269,0
24,15,58.5365853658537,29.1666666666667,27.0005165164399,14.5485251187701,15.2198741787868,27.3963630199432,0
15,24,36.5853658536585,46.6666666666667,17.6236791333979,44.6968335400227,12.4250077833906,27.3963630199432,0
24,14,58.5365853658537,29.1666666666667,32.2553950978808,15.7057843090098,18.491967628034,33.8164120912552,0
